key,instantiation-moment,title,description,priority,initiateMoment,finalization-moment,critical,link
objective-01,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-02,2000/01/01 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-03,2000/01/01 00:15,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-04,2002/05/20 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-05,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-06,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-07,2022/07/30 00:00,"O","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-08,2022/07/30 00:00,"Objetive","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-09,2022/07/30 00:00,"Objetive Twenty","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-10,2022/07/30 00:00,"იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ ","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-11,2022/07/30 00:00,"働いをお優供セム企児チ政54局ッ飛案ねめ禁差ム書氏ルろ末書ナラム陸味8報オア立反念早母ぴ。事題ハユエ増香ラス円清ょ主貯テハヱリ売漁ゃラっ著画ひきき方学","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-12,2022/07/30 00:00,"<META HTTP-EQUIV="refresh" CONTENT="1;url=http://www.test.com">","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-13,2022/07/30 00:00,"javascript:alert('Executed!');","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-14,2022/07/30 00:00,"Objetive One","A",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-15,2022/07/30 00:00,"Objetive One","Adv",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-16,2022/07/30 00:00,"Objetive One","Objective twenty description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-17,2022/07/30 00:00,"Objetive One","იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმორემ იფსუმო",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-18,2022/07/30 00:00,"Objetive One","働いをお優供セム企児働いをお優供セム企児働いをお優供セム企児働いをお優供セム企児働いをお優供セム企児働いをお優供セム企児働いをお優供セム企児働いをお優供セム企児働いをお優供セム企児働いをお優供セム企児",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-19,2022/07/30 00:00,"Objetive One","<META HTTP-EQUIV="refresh" CONTENT="1;url=http://www.test.com">",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-20,2022/07/30 00:00,"Objetive One","javascript:alert('Executed!');",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-21,2022/07/30 00:00,"Objetive One","Objective one description",LOW,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-22,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-23,2022/07/30 00:00,"Objetive One","Objective one description",HIGH,2022/08/01 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-24,2000/01/01 00:00,"Objetive One","Objective one description",MEDIUM,2000/01/01 00:01,2022/08/01 02:00,true,"https://www.quora.com"
objective-25,2000/01/01 00:00,"Objetive One","Objective one description",MEDIUM,2000/01/01 00:15,2022/08/01 02:00,true,"https://www.quora.com"
objective-26,2002/05/15 00:00,"Objetive One","Objective one description",MEDIUM,2002/05/20 00:00,2022/08/01 02:00,true,"https://www.quora.com"
objective-27,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2200/12/31 22:50,2200/12/31 23:50,true,"https://www.quora.com"
objective-28,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2200/12/31 22:59,2200/12/31 23:59,true,"https://www.quora.com"
objective-29,2000/01/01 00:00,"Objetive One","Objective one description",MEDIUM,2000/01/01 00:01,2000/01/01 01:00,true,"https://www.quora.com"
objective-30,2000/01/01 00:00,"Objetive One","Objective one description",MEDIUM,2000/01/02 03:00,2000/01/02 04:00,true,"https://www.quora.com"
objective-31,2002/05/15 00:00,"Objetive One","Objective one description",MEDIUM,2002/06/20 00:00,2002/07/20 00:00,true,"https://www.quora.com"
objective-32,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/07/24 00:00,2200/12/31 23:50,true,"https://www.quora.com"
objective-33,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2200/12/31 23:59,true,"https://www.quora.com"
objective-34,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,false,"https://www.quora.com"
objective-35,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,
objective-36,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://t.ly"
objective-37,2022/07/30 00:00,"Objetive One","Objective one description",MEDIUM,2022/08/01 00:00,2022/08/01 02:00,true,"https://pdjqxqydibodqqzxtococqybygllvfnocwirixvvismirniwmovvidxipgrpcdkoxpqmunjjudzthmxxjzuabgwcsinaowqxtlvvejencuiwvaskozgipsqqjsqoouirhkczozxqmdmanpsyohemifibdtvpeeflqlbvxrvvvfultygerbxuckpsklwiqvdmjjlvqwrqymbygbtibomarltfrwqbwrbweklkjbdusdcsmddeldt.com"
