key,key:project,code,published,moment,endDate,amount,type,contactEmail,link,key:sponsor
sponsorship-01,project-01,ABC-001,false,2010/01/01 00:00,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-02,project-01,A-002,false,2010/01/01 00:00,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-03,project-01,AB-003,false,2010/01/01 00:00,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-04,project-01,ABC-004,false,2010/01/01 00:00,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-05,project-01,ABC-005,true,2010/01/01 00:00,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-06,project-01,ABC-006,false,2000/01/01 00:00,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-07,project-01,ABC-007,false,2000/01/01 00:01,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-08,project-01,ABC-008,false,2010/01/01 00:00,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-09,project-01,ABC-009,false,2022/07/29 23:59,2022/09/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-10,project-01,ABC-010,false,2022/07/30 00:00,2022/09/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-11,project-01,ABC-011,false,2010/01/01 00:00,2010/02/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-12,project-01,ABC-012,false,2010/01/01 00:00,2010/02/01 00:01,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-13,project-01,ABC-013,false,2010/01/01 00:00,2022/05/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-14,project-01,ABC-014,false,2010/01/01 00:00,2022/09/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-15,project-01,ABC-015,false,2010/01/01 00:00,2010/03/01 00:00,"USD 0.01",IN_KIND,sponsorship@example.com,https://example.com,sponsor-01
sponsorship-16,project-01,ABC-016,false,2010/01/01 00:00,2010/03/01 00:00,"USD 0.02",IN_KIND,sponsorship@example.com,https://example.com,sponsor-02
sponsorship-17,project-01,ABC-017,false,2010/01/01 00:00,2010/03/01 00:00,"USD 50,000.00",IN_KIND,sponsorship@example.com,https://example.com,sponsor-02
sponsorship-18,project-01,ABC-018,false,2010/01/01 00:00,2010/03/01 00:00,"USD 999,999.99",IN_KIND,sponsorship@example.com,https://example.com,sponsor-02
