key,title,description,estimated-cost,acceptance-criteria,priority,link,key:manager
user-story-01,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-02,"u","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-03,"us","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-04,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-05,"krqjexNzyKphGtjBFMkbQrWBRzrmJpWpPynuUKGdkNnHRnxQVRYnSyvXdedgQUFjRzLSyNTFti","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-06,"krqjexNzyKphGtjBFMkbQrWBRzrmJpWpPynuUKGdkNnHRnxQVRYnSyvXdedgQUFjRzLSyNTFtiD","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-07,"サンプルテキスト","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-08,"требовать","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-09,"<script>console.log('javascript')</script>","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-10,"or 'A'='A","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-11,"user story title","u",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-12,"user story title","us",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-13,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-14,"user story title","knazYNDAiyABDBCnGWKBpvizvXLyQbaWkXqZifkDhTJLHSEkLkZxcafAZLQgFywhjEbWbDxLJSxnwGNFDbaxjCmcWQYCJqakYnX",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-15,"user story title","knazYNDAiyABDBCnGWKBpvizvXLyQbaWkXqZifkDhTJLHSEkLkZxcafAZLQgFywhjEbWbDxLJSxnwGNFDbaxjCmcWQYCJqakYnXd",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-16,"user story title","サンプルテキスト",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-17,"user story title","требовать",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-18,"user story title","<script>console.log('javascript')</script>",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-19,"user story title","or 'A'='A",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-20,"user story title","user story description",1,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-21,"user story title","user story description",2,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-22,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-23,"user story title","user story description",99999,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-24,"user story title","user story description",100000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-25,"user story title","user story description",50000,"u",MUST,"https://www.google.com",manager-01
user-story-26,"user story title","user story description",50000,"us",MUST,"https://www.google.com",manager-01
user-story-27,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-28,"user story title","user story description",50000,"knazYNDAiyABDBCnGWKBpvizvXLyQbaWkXqZifkDhTJLHSEkLkZxcafAZLQgFywhjEbWbDxLJSxnwGNFDbaxjCmcWQYCJqakYnX",MUST,"https://www.google.com",manager-01
user-story-29,"user story title","user story description",50000,"knazYNDAiyABDBCnGWKBpvizvXLyQbaWkXqZifkDhTJLHSEkLkZxcafAZLQgFywhjEbWbDxLJSxnwGNFDbaxjCmcWQYCJqakYnXd",MUST,"https://www.google.com",manager-01
user-story-30,"user story title","user story description",50000,"サンプルテキスト",MUST,"https://www.google.com",manager-01
user-story-31,"user story title","user story description",50000,"требовать",MUST,"https://www.google.com",manager-01
user-story-32,"user story title","user story description",50000,"<script>console.log('javascript')</script>",MUST,"https://www.google.com",manager-01
user-story-33,"user story title","user story description",50000,"or 'A'='A",MUST,"https://www.google.com",manager-01
user-story-34,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
user-story-35,"user story title","user story description",50000,"user story acceptance criteria",COULD,"https://www.google.com",manager-01
user-story-36,"user story title","user story description",50000,"user story acceptance criteria",SHOULD,"https://www.google.com",manager-01
user-story-37,"user story title","user story description",50000,"user story acceptance criteria",WONT,"https://www.google.com",manager-01
user-story-38,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.g.com",manager-01
user-story-39,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.go.com",manager-01
user-story-40,"user story title","user story description",50000,"user story acceptance criteria",MUST,"https://www.google.com",manager-01
